"Vorname einzeln","Anzahl","Geschlecht"
"Pepe",0,"m"
"Peter",0,"m"
"Piet",0,"m"
"Pino",0,"m"
"Qusai",0,"m"
"Rafael",0,"m"
"Raik",0,"m"
"Rani",0,"m"
"Raphael",0,"m"
"Reyk",0,"m"
"Rico",0,"m"
"Robin",0,"m"
"Rodin",0,"m"
"Roman",0,"m"
"Romeo",0,"m"
"Ruben",0,"m"
"Rufus",0,"m"
"Saidnursi",0,"m"
"Sam",0,"m"
"Saman",0,"m"
"Samuel",0,"m"
"Savaith",0,"m"
"Sebastian",0,"m"
"Sehas",0,"m"
"Sieuar",0,"m"
"Simon",0,"m"
"Suad",0,"m"
"Taha",0,"m"
"Taim",0,"m"
"Tamino",0,"m"
"Tamio",0,"m"
"Teetje",0,"m"
"Terje",0,"m"
"Thies",0,"m"
"Thore",0,"m"
"Til",0,"m"
"Till",0,"m"
"Tobias",0,"m"
"Tomek Heinz",0,"m"
"Tomte",0,"m"
"Tony",0,"m"
"Tyler",0,"m"
"Ulysses",0,"m"
"Valja",0,"m"
"Viktor",0,"m"
"Vince",0,"m"
"Vitus",0,"m"
"Wendelin",0,"m"
"Wilhelm",0,"m"
"Willem",0,"m"
"Willi",0,"m"
"Willy",0,"m"
"Wim",0,"m"
"Yahya",0,"m"
"Yann",0,"m"
"Yannick",0,"m"
"Youze",0,"m"
"Yunxi",0,"m"
"Zacharias",0,"m"
"Greta",15,"w"
"Mia",11,"w"
"Charlotte",10,"w"
"Emma",9,"w"
"Emilia",8,"w"
"Hannah",8,"w"
"Lilly",8,"w"
"Martha",8,"w"
"Clara",7,"w"
"Ella",7,"w"
"Johanna",7,"w"
"Lotta",7,"w"
"Mathilda",7,"w"
"Helena",6,"w"
"Ida",6,"w"
"Laura",6,"w"
"Lea",6,"w"
"Mila",6,"w"
"Ronja",6,"w"
"Amelie",5,"w"
"Anna",5,"w"
"Annabell",5,"w"
"Lina",5,"w"
"Lotte",5,"w"
"Luna",5,"w"
"Magdalena",5,"w"
"Melina",5,"w"
"Nora",5,"w"
"Alma",4,"w"
"Frida",4,"w"
"Lena",4,"w"
"Lia",4,"w"
"Pia",4,"w"
"Sarah",4,"w"
"Anni",3,"w"
"Antonia",3,"w"
"Carlotta",3,"w"
"Elisa",3,"w"
"Elisabeth",3,"w"
"Eva",3,"w"
"Hanna",3,"w"
"Judith",3,"w"
"Klara",3,"w"
"Lara",3,"w"
"Lilli",3,"w"
"Luisa",3,"w"
"Luise",3,"w"
"Maja",3,"w"
"Maria",3,"w"
"Marie",3,"w"
"Marlene",3,"w"
"Maya",3,"w"
"Miriam",3,"w"
"Nele",3,"w"
"Nina",3,"w"
"Pauline",3,"w"
"Rosa",3,"w"
"Selma",3,"w"
"Sophia",3,"w"
"Aaliyah",0,"w"
"Ada",0,"w"
"Adele",0,"w"
"Adeline",0,"w"
"Aibing",0,"w"
"Aimee",0,"w"
"Alaa",0,"w"
"Alba",0,"w"
"Aleah",0,"w"
"Alexandra",0,"w"
"Alice",0,"w"
"Alicia",0,"w"
"Amalia",0,"w"
"Amanda",0,"w"
"Amelia",0,"w"
"Amra",0,"w"
"Amy",0,"w"
"Ana",0,"w"
"Anaïs",0,"w"
"Anamdeep",0,"w"
"Anastasia",0,"w"
"Angela",0,"w"
"Anne",0,"w"
"Anoshay",0,"w"
"Anthea",0,"w"
"Arsema",0,"w"
"Artina",0,"w"
"Ashley",0,"w"
"Audrey",0,"w"
"Aurela",0,"w"
"Aurelia",0,"w"
"Aurora",0,"w"
"Ava",0,"w"
"Aylin",0,"w"
"Belana",0,"w"
"Birte",0,"w"
"Blan",0,"w"
"Brianna",0,"w"
"Britta",0,"w"
"Camila",0,"w"
"Cara",0,"w"
"Cathe",0,"w"
"Chloé",0,"w"
"Cosima",0,"w"
"Daria",0,"w"
"Dilar",0,"w"
"Dorothea",0,"w"
"Effi",0,"w"
"Elea",0,"w"
"Elena",0,"w"
"Elenore",0,"w"
"Ellinor",0,"w"
"Elly",0,"w"
"Eloise",0,"w"
"Elsa",0,"w"
"Emily",0,"w"
"Ennie",0,"w"
"Enya",0,"w"
"Estelle",0,"w"
"Eve",0,"w"
"Evelyn",0,"w"
"Ewa",0,"w"
"Fabienne",0,"w"
"Fatima",0,"w"
"Felia",0,"w"
"Filippa",0,"w"
"Finja",0,"w"
"Florentine",0,"w"
"Frederike",0,"w"
"Frieda",0,"w"
"Fritzi",0,"w"
"Ghaida",0,"w"
"Hafida",0,"w"
"Hanin",0,"w"
"Hanni",0,"w"
"Hedi",0,"w"
"Helen",0,"w"
"Helene",0,"w"
"Henriette",0,"w"
"Hermine",0,"w"
"Hetaf",0,"w"
"Hilda",0,"w"
"Hilde",0,"w"
"Hildegard",0,"w"
"Huiyi",0,"w"
"Ingrid",0,"w"
"Inka",0,"w"
"Isabel",0,"w"
"Isabell",0,"w"
"Isabella",0,"w"
"Isabelle",0,"w"
"Ivey",0,"w"
"Jasmin",0,"w"
"Jelka",0,"w"
"Jessica",0,"w"
"Jolanda",0,"w"
"Jolene",0,"w"
"Jolina",0,"w"
"Josephine",0,"w"
"Juli",0,"w"
"Julia",0,"w"
"Juliane",0,"w"
"Julie",0,"w"
"Juno",0,"w"
"Katalena",0,"w"
"Katharina",0,"w"
"Kiara",0,"w"
"Kira",0,"w"
"Kora",0,"w"
"Lamar",0,"w"
"Larissa",0,"w"
"Layan",0,"w"
"Leila",0,"w"
"Lene",0,"w"
"Leni",0,"w"
"Leona",0,"w"
"Leonie",0,"w"
"Leonore",0,"w"
"Leticia",0,"w"
"Levke",0,"w"
"Leya",0,"w"
"Lieselotte",0,"w"
"Lijana",0,"w"
"Lilia",0,"w"
"Lilo",0,"w"
"Linda",0,"w"
"Lisa",0,"w"
"Lisbeth",0,"w"
"Liselotte",0,"w"
"Liva",0,"w"
"Lora",0,"w"
"Lore",0,"w"
"Loreena",0,"w"
"Lou",0,"w"
"Louisa",0,"w"
"Lucy",0,"w"
"Luka",0,"w"
"Lydia",0,"w"
"Lysann",0,"w"
"Mai",0,"w"
"Maiwenn",0,"w"
"Mali",0,"w"
"Malia",0,"w"
"Margarete",0,"w"
"Mariam",0,"w"
"Mariella",0,"w"
"Marla",0,"w"
"Marta",0,"w"
"Massa",0,"w"
"Mathea",0,"w"
"Mattea",0,"w"
"Maxi",0,"w"
"Mayla",0,"w"
"Melia",0,"w"
"Melinda",0,"w"
"Melissa",0,"w"
"Merle",0,"w"
"Meryem",0,"w"
"Mika",0,"w"
"Milana",0,"w"
"Milena",0,"w"
"Mina",0,"w"
"Mira",0,"w"
"Mirna",0,"w"
"Miroslava",0,"w"
"Mona",0,"w"
"Neele",0,"w"
"Nela",0,"w"
"Nika",0,"w"
"Olivia",0,"w"
"Othilia",0,"w"
"Paula",0,"w"
"Paulina",0,"w"
"Philippa",0,"w"
"Priya",0,"w"
"Rahaf",0,"w"
"Rasmije",0,"w"
"Rebecca",0,"w"
"Rejda",0,"w"
"Ria",0,"w"
"Rieka",0,"w"
"Romy",0,"w"
"Rosalie",0,"w"
"Ruby",0,"w"
"Runa",0,"w"
"Salome",0,"w"
"Samia",0,"w"
"Samira",0,"w"
"Saskia",0,"w"
"Saynab",0,"w"
"Scrållan",0,"w"
"Selin",0,"w"
"Selina",0,"w"
"Senta",0,"w"
"Sidonie",0,"w"
"Sina",0,"w"
"Sofia",0,"w"
"Sonja",0,"w"
"Sophie",0,"w"
"Svea",0,"w"
"Tala",0,"w"
"Talia",0,"w"
"Tamara",0,"w"
"Tammi",0,"w"
"Tanja",0,"w"
"Theresa",0,"w"
"Tilda",0,"w"
"Tsion",0,"w"
"Valentina",0,"w"
"Valeria",0,"w"
"Valerie",0,"w"
"Vega",0,"w"
"Victoria",0,"w"
"Vivien",0,"w"
"Wanda",0,"w"
"Wanshu",0,"w"
"Wilma",0,"w"
"Yara",0,"w"
"Yasan",0,"w"
"Yaska",0,"w"
"Yella",0,"w"
"Ylvi",0,"w"
"Yunxi",0,"w"
"Zainab",0,"w"
"Zakiehe",0,"w"
"Zheqian",0,"w"
"Zoé",0,"w"
